Project Name,Start Date,Present Date,Days Duration,Quoted Budget,Labor Cost,Material Cost,Machinery Cost
Office Complex Upgrade,2021-09-11,2024-03-11,912,4591433,1441992,1454450,790444
Commercial Development,2021-09-04,2024-03-11,919,975026,258743,433247,240677
Highway Renovation,2020-04-08,2024-03-11,1433,760945,189765,320869,166475
Office Complex Restoration,2020-10-29,2024-03-11,1229,2943354,493984,1433956,436823
Industrial Megaproject,2023-11-25,2024-03-11,107,2777946,577669,904455,416938
Commercial Industrial Zone,2020-10-31,2024-03-11,1227,4780800,768504,1719419,1188246
Bridge Urban Planning,2020-04-14,2024-03-11,1427,3449853,896034,1613666,824498
Highway Megaproject,2023-03-03,2024-03-11,374,596962,93882,222561,131844
Office Complex Expansion,2023-02-07,2024-03-11,398,2568297,602748,1044911,557960
Skyscraper Engineering,2021-02-27,2024-03-11,1108,1762524,444145,877865,297764
Water Treatment Phase 1,2022-09-26,2024-03-11,532,3138155,517163,1025741,671200
Hospital Masterplan,2021-08-07,2024-03-11,947,3467267,605724,1349249,650634
Industrial Infrastructure,2023-08-03,2024-03-11,221,2340978,368145,912479,559162
Tunnel Megaproject,2021-11-21,2024-03-11,841,2736452,579402,956369,453146
Smart City Infrastructure,2022-04-17,2024-03-11,694,3740971,637368,1817615,700185
Office Complex Development,2021-06-20,2024-03-11,995,3720874,632421,1855077,597531
Hospital Modernization,2020-07-16,2024-03-11,1334,2728442,605090,939021,274103
Railway Construction,2021-08-14,2024-03-11,940,308813,66476,123459,68471
Warehouse Infrastructure,2023-10-13,2024-03-11,150,2882047,922779,1021494,563777
Office Complex Overhaul,2020-08-15,2024-03-11,1304,4313334,1052431,2082806,619881
Industrial Industrial Zone,2023-12-04,2024-03-11,98,3494255,787485,1541758,605879
Metro Roadwork,2021-06-17,2024-03-11,998,4696075,795901,1506193,527642
Railway Construction,2021-07-12,2024-03-11,973,2165685,409366,829626,472557
Water Treatment Revamp,2020-03-23,2024-03-11,1449,1785210,343569,810008,445257
Highway Revamp,2022-01-11,2024-03-11,790,3844467,873479,1172598,397475
Solar Farm Expansion,2020-10-31,2024-03-11,1227,1888233,649243,933353,381998
Highway Revamp,2021-11-19,2024-03-11,843,3123383,1015157,1363259,416378
Industrial Megaproject,2023-03-03,2024-03-11,374,762141,179569,291850,112414
Industrial Roadwork,2023-12-17,2024-03-11,85,3005530,971893,1363812,431690
Metro Megaproject,2023-02-17,2024-03-11,388,3622206,555379,1434275,681490
Smart City Megaproject,2023-08-31,2024-03-11,193,4076814,1139944,1719482,797202
Solar Farm Green Initiative,2023-12-22,2024-03-11,80,2942744,818632,1377878,661817
Hospital Expansion,2023-10-02,2024-03-11,161,1628691,317259,667080,294277
Tunnel Industrial Zone,2021-07-06,2024-03-11,979,3597707,837870,1590083,496838
Bridge Renovation,2022-11-30,2024-03-11,467,2949318,745657,1289568,578640
Hospital Construction,2023-07-03,2024-03-11,252,2731618,434833,911879,499532
Railway Development,2022-07-16,2024-03-11,604,1153597,266839,560027,152099
Highway Modernization,2023-07-11,2024-03-11,244,2371404,462866,1050568,388834
Smart City Engineering,2022-03-30,2024-03-11,712,929991,158215,298298,148598
Skyscraper Megaproject,2023-11-07,2024-03-11,125,4130321,1442795,1525992,988297
Oil Refinery Green Initiative,2021-01-09,2024-03-11,1157,1816028,618108,821741,335961
Solar Farm Revamp,2021-02-11,2024-03-11,1124,1312178,402743,494565,195829
Bridge Modernization,2021-04-29,2024-03-11,1047,4108499,805762,1421493,417560
Metro Upgrade,2021-01-09,2024-03-11,1157,4444064,1114608,1573683,1049106
Airport Overhaul,2023-04-29,2024-03-11,317,4142749,987120,1347940,777228
Power Plant Megaproject,2020-10-11,2024-03-11,1247,3215194,649214,1468451,635261
Luxury Apartment Restoration,2020-08-14,2024-03-11,1305,768846,115345,368534,189732
Tunnel Green Initiative,2020-08-22,2024-03-11,1297,630658,179602,233885,95914
Tunnel Infrastructure,2023-06-10,2024-03-11,275,3440672,517756,1109562,591427
Residential Project,2020-03-29,2024-03-11,1443,1704158,593353,609225,369623
Metro Revamp,2021-06-21,2024-03-11,994,2712454,795627,838007,435533
Power Plant Revamp,2022-01-16,2024-03-11,785,741416,243803,361307,147231
Tunnel Construction,2021-04-23,2024-03-11,1053,1806863,428119,680640,424784
Office Complex Renovation,2021-11-27,2024-03-11,835,4764283,1523515,1701254,915878
Solar Farm Overhaul,2022-04-25,2024-03-11,686,4448462,1211594,1975298,619620
Metro Overhaul,2022-03-09,2024-03-11,733,1053418,282696,460970,192217
Airport Megaproject,2020-07-04,2024-03-11,1346,313646,103115,127641,68152
Commercial Construction,2021-02-04,2024-03-11,1131,502267,112254,166662,68857
Bridge Green Initiative,2020-08-01,2024-03-11,1318,3162764,663945,1130418,540859
Warehouse Masterplan,2021-08-17,2024-03-11,937,3557203,681675,1564377,803338
Solar Farm Development,2023-08-17,2024-03-11,207,3374509,602762,1226965,505280
Bridge Construction,2022-03-23,2024-03-11,719,3506613,562334,1403168,729401
Shopping Mall Masterplan,2022-01-04,2024-03-11,797,3225883,978268,1166915,634428
Water Treatment Green Initiative,2023-02-04,2024-03-11,401,2157634,456796,839412,345669
Power Plant Reconstruction,2020-12-15,2024-03-11,1182,4489089,1062492,2134270,945662
Railway Roadwork,2022-01-01,2024-03-11,800,1272199,436418,405853,220920
Airport Upgrade,2021-07-18,2024-03-11,967,862274,142608,350563,114136
Tunnel Masterplan,2021-10-19,2024-03-11,874,4090202,854749,1325947,612457
Bridge Masterplan,2021-01-27,2024-03-11,1139,2172322,563376,1029565,294906
Metro Engineering,2022-09-17,2024-03-11,541,2522644,707616,862225,371841
Smart City Construction,2021-01-19,2024-03-11,1147,2392367,537447,1085098,586857
Solar Farm Overhaul,2020-04-24,2024-03-11,1417,884342,186676,433399,219438
Commercial Restoration,2022-12-06,2024-03-11,461,4307374,1316103,1788717,1034803
Smart City Restoration,2020-09-16,2024-03-11,1272,2365658,714133,1004773,417800
Luxury Apartment Green Initiative,2022-06-14,2024-03-11,636,480032,153696,221254,57979
Commercial Infrastructure,2020-01-25,2024-03-11,1507,3856187,1218259,1700740,664774
Power Plant Overhaul,2020-11-22,2024-03-11,1205,1535561,340170,535591,184153
Solar Farm Revamp,2020-07-03,2024-03-11,1347,2014366,381695,923019,227808
Industrial Megaproject,2023-05-20,2024-03-11,296,2250968,659998,777733,234904
Airport Project,2022-12-19,2024-03-11,448,643808,155877,230467,88314
Hydroelectric Dam Phase 1,2021-10-11,2024-03-11,882,2229833,505101,1016477,385870
Warehouse Renovation,2021-09-15,2024-03-11,908,2502144,442331,771254,372678
Bridge Restoration,2023-02-22,2024-03-11,383,1279422,366892,430060,280982
Water Treatment Renovation,2022-12-08,2024-03-11,459,1381851,326695,493480,292455
Metro Restoration,2021-10-08,2024-03-11,885,4478183,684309,1705388,1112720
Industrial Industrial Zone,2023-03-18,2024-03-11,359,3757566,819435,1519365,740912
Water Treatment Construction,2023-07-28,2024-03-11,227,2014925,511360,788080,488008
Railway Urban Planning,2023-03-21,2024-03-11,356,2944628,711910,976321,679536
Residential Megaproject,2021-01-10,2024-03-11,1156,3868456,662721,1219910,494733
Residential Overhaul,2022-12-06,2024-03-11,461,4244843,912464,1579798,696272
Shopping Mall Roadwork,2020-09-10,2024-03-11,1278,1423920,263771,646807,309563
Luxury Apartment Reconstruction,2024-01-02,2024-03-11,69,3742936,1025464,1847973,899198
Commercial Infrastructure,2021-05-11,2024-03-11,1035,3605711,678831,1454506,863847
Hydroelectric Dam Renovation,2021-09-18,2024-03-11,905,4326345,936302,2157130,654891
Office Complex Renovation,2021-07-28,2024-03-11,957,3788464,934065,1182114,849735
Industrial Industrial Zone,2024-01-08,2024-03-11,63,1758196,421435,708881,220119
Industrial Upgrade,2021-05-20,2024-03-11,1026,1874675,517918,633699,334406
Skyscraper Engineering,2023-12-04,2024-03-11,98,2218805,538853,720283,291745
Oil Refinery Phase 1,2024-01-25,2024-03-11,46,3549025,781097,1667905,616028
Shopping Mall Development,2020-06-28,2024-03-11,1352,3824504,578628,1192143,508468
Skyscraper Reconstruction,2022-09-04,2024-03-11,554,1888038,592559,785028,322211
Power Plant Urban Planning,2021-06-24,2024-03-11,991,1803051,444092,724887,266956
Warehouse Reconstruction,2021-01-04,2024-03-11,1162,3636787,759933,1399098,390156
Warehouse Infrastructure,2023-06-13,2024-03-11,272,4194448,1127071,1277463,501071
Smart City Infrastructure,2022-04-10,2024-03-11,701,725866,227403,350756,129781
Highway Industrial Zone,2020-08-15,2024-03-11,1304,914505,193950,439031,197121
Highway Overhaul,2023-01-20,2024-03-11,416,1561796,532694,485575,373833
Industrial Urban Planning,2023-07-09,2024-03-11,246,1342884,261038,507826,196512
Hydroelectric Dam Roadwork,2022-05-13,2024-03-11,668,2433089,843206,1018038,430728
Solar Farm Reconstruction,2022-10-10,2024-03-11,518,2302172,536594,755629,267196
Solar Farm Infrastructure,2024-01-14,2024-03-11,57,2503497,402040,874762,621703
Oil Refinery Infrastructure,2023-03-29,2024-03-11,348,4877929,766652,1619883,1105181
Office Complex Revamp,2020-02-29,2024-03-11,1472,2766307,631038,1182445,304807
Smart City Infrastructure,2021-02-03,2024-03-11,1132,939981,281897,380170,162194
Bridge Reconstruction,2022-03-21,2024-03-11,721,2382617,487218,836144,334853
Tunnel Industrial Zone,2023-05-16,2024-03-11,300,1036714,166776,486135,209788
Warehouse Green Initiative,2020-01-07,2024-03-11,1525,2196339,364647,915955,332842
Oil Refinery Infrastructure,2022-10-24,2024-03-11,504,4989165,810287,1890078,777675
Skyscraper Engineering,2024-01-01,2024-03-11,70,4669929,1494218,2026248,986109
Tunnel Roadwork,2020-01-04,2024-03-11,1528,4901281,792961,1990701,1192379
Airport Restoration,2020-12-04,2024-03-11,1193,1164537,304230,423360,288201
Bridge Reconstruction,2021-01-25,2024-03-11,1141,3160053,544685,1052168,651021
Luxury Apartment Construction,2023-09-24,2024-03-11,169,2960827,710687,1086877,529822
Bridge Project,2021-11-08,2024-03-11,854,3296913,1063593,1339071,533146
Power Plant Development,2020-06-14,2024-03-11,1366,2704304,807566,916053,378410
Power Plant Industrial Zone,2020-10-23,2024-03-11,1235,764488,135773,344022,100050
Hospital Project,2023-09-15,2024-03-11,178,2203296,346228,817806,457918
Airport Expansion,2022-03-05,2024-03-11,737,4255524,822762,2005449,516704
Airport Upgrade,2020-09-30,2024-03-11,1258,4679602,901913,2281772,1129068
Railway Modernization,2020-04-04,2024-03-11,1437,1158073,179176,485869,117853
Bridge Overhaul,2022-01-26,2024-03-11,775,3255490,824726,1510684,518211
Office Complex Renovation,2022-01-21,2024-03-11,780,1144888,287004,440740,212737
Warehouse Green Initiative,2024-02-09,2024-03-11,31,363127,120125,158976,51852
Oil Refinery Phase 1,2023-03-25,2024-03-11,352,1556576,375662,567164,284041
Shopping Mall Urban Planning,2020-10-21,2024-03-11,1237,1893529,449064,618188,340057
Skyscraper Modernization,2021-10-25,2024-03-11,868,3864594,1261237,1682361,739314
Warehouse Phase 1,2024-01-07,2024-03-11,64,2788520,953954,953250,497979
Airport Upgrade,2022-12-28,2024-03-11,439,2933709,669612,1277650,349315
Skyscraper Masterplan,2023-06-26,2024-03-11,259,3205644,811808,1177305,590595
Residential Modernization,2021-07-30,2024-03-11,955,3826270,824223,1334771,860194
Smart City Reconstruction,2021-11-18,2024-03-11,844,3275313,965089,1069795,438829
Solar Farm Reconstruction,2022-01-10,2024-03-11,791,3598612,1172568,1712485,387813
Airport Roadwork,2022-12-24,2024-03-11,443,2499801,633026,842806,530346
Luxury Apartment Revamp,2021-11-30,2024-03-11,832,2112199,525273,648152,283130
Bridge Reconstruction,2022-01-01,2024-03-11,800,486206,153618,159003,110973
Office Complex Project,2021-06-24,2024-03-11,991,3204408,532182,1158223,679197
Hydroelectric Dam Phase 1,2021-07-20,2024-03-11,965,572512,88230,223904,133758
Skyscraper Restoration,2024-01-29,2024-03-11,42,2793776,819093,951004,667511
Industrial Phase 1,2023-09-12,2024-03-11,181,2551149,474260,938343,312886
Railway Modernization,2021-09-16,2024-03-11,907,2368401,485829,833244,494819
Railway Construction,2022-07-31,2024-03-11,589,4959879,1416733,1644247,914183
Commercial Phase 1,2022-09-26,2024-03-11,532,852454,223541,327637,201464
Residential Infrastructure,2020-07-05,2024-03-11,1345,4649637,1623285,2300444,646027
Highway Renovation,2021-07-20,2024-03-11,965,4007481,760508,1714903,758894
Luxury Apartment Modernization,2021-02-12,2024-03-11,1123,3260158,950384,1606598,615792
Metro Megaproject,2020-02-20,2024-03-11,1481,3277561,1108639,1238553,619036
Residential Masterplan,2023-10-14,2024-03-11,149,1112550,215635,508079,247037
